12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
8.0,38.0,8.0,3001.0,12.0,40.0,17.0,3550.0,3.0,41.0,17.0,3466.0,3.0,33.0,12.0,2924.0,5.0,29.0,7.0,1724.0,0.0,15.0,1.0,574.0,31,Fenerbahce SK,Süper Lig,right,176.0,Aatif Chahechouhe,Morocco  France,W
0.0,12.0,5.0,862.0,3.0,38.0,11.0,2646.0,9.0,38.0,22.0,3436.0,7.0,49.0,32.0,3971.0,4.0,38.0,6.0,1351.0,4.0,13.0,3.0,844.0,23,Fenerbahce SK,Süper Lig,left,183.0,Vincent Janssen,Netherlands,CF
5.0,46.0,30.0,3680.0,5.0,36.0,11.0,2494.0,6.0,40.0,5.0,1810.0,15.0,44.0,8.0,3378.0,4.0,11.0,4.0,812.0,1.0,13.0,3.0,467.0,32,Fenerbahce SK,Süper Lig,both,180.0,Roberto Soldado,Spain,CF
15.0,48.0,30.0,3696.0,3.0,28.0,18.0,2081.0,3.0,31.0,12.0,2346.0,3.0,48.0,22.0,2937.0,4.0,35.0,14.0,2031.0,0.0,4.0,0.0,199.0,34,Fenerbahce SK,Süper Lig,left,183.0,Robin van Persie,Netherlands,CF
1.0,35.0,14.0,3007.0,4.0,23.0,12.0,1962.0,8.0,44.0,26.0,3692.0,1.0,55.0,25.0,3105.0,0.0,25.0,12.0,1410.0,0.0,2.0,2.0,87.0,30,Fenerbahce SK,Süper Lig,right,192.0,Fernandão,Brazil,CF
,,,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,290.0,20,Fenerbahce SK,Süper Lig,left,182.0,Ahmethan Köse,Turkey,CF
3.0,25.0,1.0,1798.0,4.0,33.0,4.0,2019.0,1.0,27.0,2.0,1561.0,6.0,41.0,10.0,3184.0,8.0,32.0,10.0,2350.0,1.0,20.0,4.0,1336.0,30,Medipol Basaksehir,Süper Lig,right,176.0,Eljero Elia,Netherlands,W
2.0,17.0,0.0,801.0,0.0,11.0,0.0,340.0,1.0,48.0,4.0,2096.0,5.0,37.0,5.0,1519.0,0.0,27.0,5.0,1102.0,1.0,20.0,4.0,887.0,24,Medipol Basaksehir,Süper Lig,right,171.0,Kerim Frei,Turkey  Switzerland,W
1.0,16.0,1.0,723.0,1.0,17.0,3.0,550.0,9.0,31.0,5.0,2287.0,6.0,32.0,2.0,1874.0,7.0,29.0,3.0,2041.0,1.0,8.0,0.0,360.0,27,Medipol Basaksehir,Süper Lig,both,178.0,Tunay Torun,Turkey  Germany,W
6.0,37.0,13.0,2650.0,4.0,33.0,13.0,2110.0,1.0,36.0,9.0,2224.0,1.0,29.0,4.0,1454.0,0.0,27.0,6.0,1528.0,0.0,17.0,3.0,756.0,30,Medipol Basaksehir,Süper Lig,right,181.0,Mevlüt Erdinc,Turkey  France,CF
2.0,34.0,8.0,2468.0,5.0,25.0,14.0,2156.0,1.0,17.0,2.0,986.0,1.0,15.0,1.0,816.0,2.0,16.0,7.0,1200.0,2.0,19.0,9.0,1523.0,33,Medipol Basaksehir,Süper Lig,right,192.0,Emmanuel Adebayor,Togo  Nigeria,CF
6.0,33.0,12.0,2963.0,8.0,32.0,13.0,2715.0,0.0,25.0,8.0,1297.0,6.0,35.0,11.0,2371.0,1.0,25.0,6.0,1776.0,0.0,7.0,0.0,268.0,31,Medipol Basaksehir,Süper Lig,both,196.0,Mehmet Batdal,Turkey,CF
6.0,37.0,11.0,3036.0,9.0,36.0,8.0,2877.0,11.0,48.0,9.0,3498.0,6.0,41.0,5.0,2456.0,10.0,37.0,3.0,2689.0,3.0,13.0,4.0,888.0,30,Trabzonspor,Süper Lig,right,179.0,Olcay Sahan,Turkey  Germany,W
5.0,36.0,2.0,2415.0,5.0,33.0,13.0,2851.0,9.0,35.0,10.0,3000.0,6.0,24.0,6.0,1991.0,2.0,34.0,3.0,2200.0,4.0,9.0,0.0,517.0,25,Trabzonspor,Süper Lig,both,170.0,Fabián Castillo,Colombia,W
2.0,23.0,4.0,1022.0,5.0,24.0,1.0,1468.0,12.0,41.0,17.0,3255.0,9.0,43.0,7.0,2304.0,4.0,33.0,1.0,1728.0,0.0,4.0,2.0,132.0,30,Trabzonspor,Süper Lig,right,175.0,Volkan Sen,Turkey,W
,,,,3.0,24.0,2.0,1224.0,2.0,28.0,4.0,1080.0,2.0,26.0,2.0,1308.0,6.0,42.0,2.0,2898.0,0.0,6.0,2.0,213.0,22,Trabzonspor,Süper Lig,left,177.0,Theo Bongonda,Belgium,W
8.0,39.0,32.0,3179.0,9.0,44.0,18.0,3684.0,5.0,37.0,22.0,2956.0,6.0,41.0,21.0,3041.0,1.0,11.0,8.0,990.0,1.0,12.0,13.0,996.0,32,Trabzonspor,Süper Lig,both,188.0,Burak Yilmaz,Turkey,CF
3.0,33.0,3.0,1783.0,2.0,17.0,6.0,853.0,9.0,38.0,11.0,2834.0,1.0,37.0,21.0,3199.0,3.0,32.0,10.0,2443.0,1.0,12.0,11.0,435.0,32,Trabzonspor,Süper Lig,right,181.0,Hugo Rodallega,Colombia,CF
1.0,26.0,10.0,1965.0,2.0,27.0,13.0,1850.0,1.0,30.0,9.0,2068.0,2.0,25.0,2.0,1462.0,6.0,32.0,8.0,2343.0,2.0,9.0,5.0,625.0,32,Trabzonspor,Süper Lig,right,186.0,Dame N'Doye,Senegal,CF
3.0,19.0,3.0,1239.0,7.0,24.0,5.0,1756.0,2.0,30.0,0.0,1655.0,3.0,24.0,5.0,1175.0,2.0,28.0,6.0,1687.0,2.0,16.0,3.0,1360.0,27,Antalyaspor,Süper Lig,right,182.0,Maicón,Brazil  Portugal,W
12.0,42.0,8.0,2867.0,3.0,26.0,2.0,1032.0,4.0,34.0,16.0,2788.0,0.0,12.0,4.0,413.0,3.0,31.0,3.0,1731.0,0.0,9.0,0.0,307.0,30,Antalyaspor,Süper Lig,right,181.0,Jérémy Ménez,France,CF
3.0,26.0,15.0,1971.0,3.0,13.0,7.0,907.0,11.0,30.0,8.0,2360.0,3.0,36.0,9.0,2604.0,2.0,11.0,3.0,799.0,0.0,15.0,1.0,725.0,29,Antalyaspor,Süper Lig,right,176.0,Moestafa El Kabir,Morocco  Netherlands,CF
10.0,44.0,21.0,3884.0,7.0,41.0,14.0,2717.0,4.0,38.0,6.0,2349.0,6.0,32.0,20.0,2837.0,5.0,30.0,18.0,2512.0,3.0,14.0,6.0,1231.0,36,Antalyaspor,Süper Lig,both,180.0,Samuel Eto'o,Cameroon  Spain,CF
2.0,20.0,18.0,1626.0,0.0,31.0,14.0,2046.0,3.0,36.0,14.0,2094.0,3.0,42.0,14.0,2976.0,3.0,30.0,10.0,2508.0,1.0,12.0,2.0,791.0,31,Antalyaspor,Süper Lig,both,188.0,Deniz Kadah,Turkey  Germany,CF
1.0,12.0,0.0,330.0,1.0,27.0,7.0,720.0,0.0,9.0,2.0,266.0,3.0,24.0,10.0,1414.0,0.0,9.0,0.0,220.0,0.0,10.0,3.0,346.0,28,Antalyaspor,Süper Lig,left,187.0,Emre Güral,Turkey  Germany,CF
1.0,30.0,3.0,2203.0,6.0,26.0,3.0,1997.0,0.0,14.0,1.0,670.0,4.0,19.0,1.0,1369.0,5.0,19.0,5.0,1379.0,3.0,4.0,0.0,115.0,25,Osmanlispor FK,Süper Lig,right,174.0,Payam Sadeghian,Iran,W
,,,,7.0,36.0,7.0,3009.0,6.0,27.0,5.0,2185.0,5.0,29.0,8.0,2427.0,5.0,39.0,9.0,2844.0,2.0,15.0,2.0,1114.0,22,Osmanlispor FK,Süper Lig,right,174.0,Aminu Umar,Nigeria,W
2.0,25.0,8.0,1752.0,14.0,40.0,4.0,3185.0,5.0,21.0,3.0,1367.0,0.0,12.0,1.0,400.0,6.0,36.0,17.0,3078.0,5.0,17.0,7.0,1337.0,26,Osmanlispor FK,Süper Lig,right,175.0,Serdar Gürler,Turkey  France,W
3.0,35.0,18.0,2189.0,1.0,28.0,12.0,1903.0,2.0,17.0,9.0,1218.0,5.0,28.0,13.0,1880.0,2.0,30.0,14.0,1742.0,,,,,29,Osmanlispor FK,Süper Lig,right,194.0,Cheick Diabaté,Mali,CF
12.0,47.0,26.0,3354.0,2.0,27.0,11.0,2063.0,4.0,33.0,13.0,1702.0,2.0,26.0,10.0,1525.0,3.0,39.0,7.0,1492.0,,,,,29,Osmanlispor FK,Süper Lig,right,181.0,Raul Rusescu,Romania,CF
0.0,4.0,3.0,350.0,0.0,41.0,22.0,2882.0,5.0,41.0,13.0,3441.0,4.0,37.0,13.0,1809.0,5.0,27.0,10.0,1695.0,0.0,10.0,2.0,619.0,27,Osmanlispor FK,Süper Lig,right,187.0,Sokol Cikalleshi,Albania,CF
0.0,15.0,0.0,458.0,2.0,22.0,6.0,1625.0,3.0,27.0,7.0,1528.0,2.0,27.0,5.0,1617.0,4.0,39.0,6.0,2010.0,1.0,13.0,4.0,832.0,26,Osmanlispor FK,Süper Lig,right,186.0,Souleymane Doukara,Senegal  France,CF
,,,,,,,,3.0,32.0,9.0,1590.0,0.0,33.0,11.0,2313.0,0.0,44.0,23.0,3603.0,,,,,28,Osmanlispor FK,Süper Lig,right,186.0,Ali ĂzgĂźn,Germany,CF
0.0,7.0,1.0,492.0,1.0,33.0,7.0,2204.0,7.0,28.0,16.0,1893.0,7.0,31.0,10.0,2438.0,4.0,24.0,2.0,1954.0,3.0,12.0,3.0,844.0,29,Bursaspor,Süper Lig,right,178.0,Jirès Kembo-Ekoko,France  Congo DR,W
9.0,30.0,12.0,2288.0,3.0,33.0,9.0,2643.0,7.0,31.0,5.0,2651.0,1.0,23.0,4.0,1742.0,2.0,30.0,2.0,1726.0,1.0,7.0,0.0,395.0,29,Bursaspor,Süper Lig,both,175.0,Joshua John,Netherlands  Aruba,W
,,,,,,,,0.0,0.0,0.0,0.0,3.0,29.0,4.0,2368.0,0.0,22.0,3.0,1354.0,0.0,2.0,0.0,24.0,19,Bursaspor,Süper Lig,both,176.0,Ozan Kökcü,Turkey  Netherlands,W
2.0,13.0,3.0,509.0,2.0,28.0,4.0,1379.0,10.0,31.0,8.0,2409.0,6.0,24.0,4.0,1338.0,1.0,29.0,3.0,1163.0,,,,,27,Bursaspor,Süper Lig,right,182.0,Sercan Yildirim,Turkey,W
1.0,21.0,4.0,1385.0,1.0,29.0,4.0,1803.0,1.0,22.0,7.0,1582.0,4.0,28.0,2.0,1834.0,2.0,41.0,3.0,2362.0,1.0,17.0,4.0,771.0,27,Bursaspor,Süper Lig,right,173.0,Dzon Delarge,Congo,W
,,,,,,,,,,,,3.0,7.0,4.0,411.0,2.0,34.0,7.0,2073.0,0.0,7.0,0.0,381.0,20,Bursaspor,Süper Lig,left,190.0,Kubilay Kanatsizkus,Turkey,CF
1.0,33.0,11.0,2489.0,7.0,28.0,13.0,2418.0,1.0,27.0,10.0,2265.0,5.0,30.0,10.0,2418.0,1.0,23.0,2.0,1596.0,2.0,15.0,4.0,1332.0,30,Bursaspor,Süper Lig,right,183.0,Bogdan Stancu,Romania,CF
2.0,26.0,5.0,1767.0,6.0,35.0,13.0,2709.0,0.0,15.0,2.0,1005.0,4.0,21.0,7.0,1491.0,1.0,21.0,5.0,1764.0,0.0,7.0,2.0,546.0,29,Bursaspor,Süper Lig,right,182.0,Deniz Yilmaz,Azerbaijan  Turkey,CF
0.0,26.0,17.0,2095.0,0.0,6.0,0.0,215.0,0.0,5.0,3.0,285.0,0.0,31.0,8.0,1219.0,2.0,19.0,1.0,870.0,0.0,6.0,1.0,395.0,23,Bursaspor,Süper Lig,right,186.0,Sinan Bakis,Turkey  Germany,CF
4.0,37.0,7.0,2432.0,7.0,48.0,11.0,3484.0,4.0,30.0,5.0,2047.0,1.0,34.0,3.0,1728.0,2.0,24.0,0.0,1210.0,0.0,3.0,2.0,156.0,32,Kayserispor,Süper Lig,right,179.0,Silvestre Varela,Portugal  Cape Verde,W
1.0,15.0,4.0,722.0,2.0,19.0,3.0,755.0,3.0,31.0,3.0,1406.0,6.0,35.0,2.0,2222.0,0.0,16.0,2.0,493.0,3.0,16.0,5.0,1085.0,27,Kayserispor,Süper Lig,right,178.0,Ryan Mendes,Cape Verde  France,W
0.0,4.0,1.0,277.0,3.0,14.0,12.0,1226.0,3.0,35.0,23.0,2490.0,1.0,15.0,3.0,721.0,1.0,21.0,8.0,1047.0,0.0,7.0,3.0,351.0,32,Kayserispor,Süper Lig,right,180.0,Asamoah Gyan,Ghana,CF
0.0,15.0,8.0,1188.0,2.0,30.0,7.0,2472.0,6.0,38.0,14.0,3029.0,4.0,52.0,18.0,3330.0,2.0,34.0,9.0,1830.0,1.0,17.0,2.0,652.0,25,Kayserispor,Süper Lig,right,184.0,Nikola Stojiljkovic,Serbia,CF
6.0,38.0,15.0,1954.0,4.0,46.0,9.0,1929.0,3.0,43.0,12.0,2285.0,4.0,46.0,7.0,2667.0,2.0,37.0,6.0,2833.0,0.0,15.0,7.0,1290.0,34,Kayserispor,Süper Lig,right,184.0,Umut Bulut,Turkey,CF
3.0,42.0,15.0,3271.0,5.0,39.0,7.0,2966.0,1.0,33.0,2.0,2066.0,0.0,10.0,0.0,403.0,5.0,45.0,7.0,3267.0,0.0,13.0,0.0,738.0,31,Göztepe,Süper Lig,right,175.0,Yoan Gouffran,France  Guadeloupe,W
,,,,,,,,0.0,0.0,0.0,0.0,1.0,7.0,1.0,421.0,1.0,11.0,2.0,623.0,0.0,2.0,0.0,119.0,20,Göztepe,Süper Lig,right,179.0,Muhammed Enes Durmus,Turkey,W
1.0,37.0,16.0,3032.0,6.0,36.0,4.0,1178.0,0.0,28.0,7.0,2121.0,1.0,22.0,0.0,1110.0,3.0,30.0,8.0,2498.0,1.0,10.0,2.0,438.0,27,Göztepe,Süper Lig,right,185.0,Nabil Ghilas,Algeria  France,CF
3.0,29.0,14.0,1002.0,0.0,11.0,3.0,220.0,3.0,25.0,10.0,1604.0,3.0,24.0,7.0,988.0,0.0,16.0,3.0,627.0,0.0,4.0,1.0,106.0,28,Göztepe,Süper Lig,both,186.0,Ömer Sismanoglu,Turkey  Germany,CF
3.0,25.0,12.0,1375.0,4.0,26.0,12.0,2202.0,9.0,31.0,18.0,2544.0,1.0,17.0,3.0,1176.0,6.0,40.0,21.0,3367.0,3.0,14.0,12.0,1203.0,30,Göztepe,Süper Lig,right,191.0,Adis Jahovic,Macedonia  Bosnia-Herzegovina,CF
5.0,31.0,1.0,1434.0,6.0,34.0,8.0,2346.0,5.0,18.0,9.0,1570.0,0.0,10.0,2.0,258.0,2.0,28.0,2.0,1520.0,4.0,20.0,2.0,1440.0,26,Atiker Konyaspor,Süper Lig,both,178.0,Moryké Fofana,Cote d'Ivoire,W
5.0,33.0,2.0,2482.0,0.0,28.0,2.0,1007.0,3.0,35.0,4.0,2755.0,8.0,42.0,3.0,3255.0,4.0,45.0,5.0,3459.0,0.0,23.0,2.0,1812.0,25,Atiker Konyaspor,Süper Lig,right,175.0,Ömer Ali Sahiner,Turkey,W
10.0,34.0,16.0,2361.0,12.0,48.0,15.0,3363.0,3.0,29.0,12.0,2282.0,5.0,29.0,3.0,1423.0,3.0,19.0,5.0,1515.0,0.0,13.0,0.0,271.0,24,Atiker Konyaspor,Süper Lig,right,178.0,Imoh Ezekiel,Nigeria,CF
,,,,1.0,21.0,8.0,1582.0,6.0,28.0,17.0,2215.0,4.0,39.0,15.0,2151.0,,,,,1.0,15.0,0.0,697.0,25,Atiker Konyaspor,Süper Lig,both,185.0,Malick Evouna,Gabon,CF
,,,,0.0,5.0,0.0,76.0,4.0,26.0,16.0,2046.0,3.0,24.0,13.0,2103.0,5.0,25.0,5.0,1945.0,2.0,10.0,2.0,537.0,24,Atiker Konyaspor,Süper Lig,right,187.0,Patrick Friday Eze,Nigeria,CF
3.0,13.0,1.0,459.0,6.0,45.0,19.0,3568.0,5.0,30.0,7.0,1681.0,4.0,43.0,15.0,2950.0,7.0,44.0,12.0,3522.0,3.0,20.0,10.0,1627.0,29,Aytemiz Alanyaspor,Süper Lig,right,184.0,Júnior Fernándes,Chile  Brazil,W
0.0,18.0,3.0,741.0,0.0,23.0,0.0,1776.0,4.0,27.0,1.0,1999.0,2.0,18.0,1.0,1314.0,5.0,33.0,3.0,2689.0,0.0,15.0,0.0,831.0,26,Aytemiz Alanyaspor,Süper Lig,right,178.0,Chisamba Lungu,Zambia  Georgia,W
5.0,28.0,13.0,2494.0,0.0,32.0,11.0,2355.0,8.0,38.0,15.0,3202.0,3.0,27.0,10.0,1664.0,3.0,29.0,4.0,2051.0,1.0,12.0,3.0,725.0,29,Aytemiz Alanyaspor,Süper Lig,right,180.0,Mbilla Etame,Cameroon,W
2.0,27.0,2.0,1393.0,0.0,39.0,5.0,3217.0,9.0,31.0,6.0,2457.0,3.0,29.0,2.0,1757.0,3.0,25.0,1.0,1844.0,4.0,15.0,1.0,1261.0,28,Aytemiz Alanyaspor,Süper Lig,right,166.0,Efecan Karaca,Turkey,W
7.0,22.0,12.0,2014.0,12.0,36.0,23.0,2967.0,5.0,34.0,14.0,2497.0,0.0,13.0,4.0,813.0,3.0,28.0,23.0,2455.0,3.0,13.0,10.0,1103.0,33,Aytemiz Alanyaspor,Süper Lig,both,172.0,Vágner Love,Brazil,CF
5.0,47.0,17.0,2009.0,0.0,31.0,11.0,1952.0,0.0,39.0,8.0,2354.0,2.0,25.0,9.0,2051.0,2.0,24.0,4.0,1027.0,,,,,30,Aytemiz Alanyaspor,Süper Lig,right,194.0,Glynor Plet,Netherlands  Suriname,CF
,,,,0.0,1.0,0.0,70.0,0.0,11.0,0.0,628.0,0.0,4.0,1.0,69.0,0.0,21.0,4.0,916.0,0.0,5.0,1.0,223.0,21,Aytemiz Alanyaspor,Süper Lig,,179.0,Yusuf Coban,Germany  Turkey,CF
2.0,25.0,13.0,1970.0,3.0,26.0,10.0,1988.0,5.0,38.0,14.0,2014.0,0.0,18.0,0.0,504.0,2.0,23.0,6.0,1648.0,1.0,11.0,4.0,573.0,24,Genclerbirligi Ankara,Süper Lig,right,178.0,Elvis Manu,Netherlands  Ghana,W
4.0,20.0,2.0,1009.0,2.0,26.0,4.0,1610.0,10.0,29.0,8.0,2476.0,6.0,29.0,12.0,2610.0,2.0,9.0,3.0,621.0,1.0,7.0,2.0,463.0,27,Genclerbirligi Ankara,Süper Lig,right,166.0,Jaílton Paraíba,Brazil,W
3.0,30.0,8.0,2194.0,4.0,31.0,1.0,2012.0,1.0,24.0,5.0,1862.0,4.0,42.0,4.0,2798.0,2.0,24.0,2.0,1635.0,4.0,17.0,3.0,1201.0,29,Genclerbirligi Ankara,Süper Lig,both,181.0,Ahmet Ilhan Özek,Turkey,W
2.0,19.0,4.0,1379.0,10.0,38.0,16.0,2951.0,7.0,40.0,24.0,2980.0,0.0,24.0,7.0,1205.0,0.0,10.0,2.0,406.0,1.0,13.0,4.0,805.0,27,Genclerbirligi Ankara,Süper Lig,left,193.0,Petar Skuletic,Serbia  Montenegro,CF
1.0,22.0,9.0,1566.0,8.0,37.0,4.0,1840.0,0.0,16.0,2.0,346.0,0.0,6.0,0.0,108.0,3.0,24.0,6.0,1148.0,1.0,6.0,0.0,366.0,27,Genclerbirligi Ankara,Süper Lig,right,172.0,Tokelo Rantie,South Africa,CF
0.0,6.0,0.0,203.0,0.0,28.0,6.0,1721.0,1.0,32.0,6.0,1677.0,3.0,37.0,17.0,2932.0,1.0,40.0,6.0,1970.0,0.0,14.0,4.0,696.0,23,Genclerbirligi Ankara,Süper Lig,left,194.0,Vedat Muriqi,Kosovo  Albania,CF
2.0,28.0,3.0,1637.0,4.0,24.0,4.0,1429.0,7.0,34.0,6.0,2077.0,0.0,3.0,0.0,7.0,8.0,37.0,6.0,1606.0,0.0,8.0,0.0,352.0,29,Evkur Yeni Malatyaspor,Süper Lig,right,180.0,Turgut Sahin,Turkey,W
4.0,24.0,2.0,1287.0,0.0,23.0,1.0,1061.0,2.0,25.0,4.0,1347.0,1.0,24.0,0.0,1666.0,0.0,29.0,10.0,1955.0,1.0,14.0,4.0,845.0,26,Evkur Yeni Malatyaspor,Süper Lig,left,175.0,Eren Tozlu,Turkey,W
6.0,24.0,5.0,2015.0,2.0,12.0,0.0,750.0,0.0,18.0,2.0,1166.0,0.0,14.0,0.0,625.0,3.0,34.0,8.0,2203.0,2.0,13.0,0.0,719.0,30,Evkur Yeni Malatyaspor,Süper Lig,right,173.0,Issiar Dia,Senegal  France,W
,,,,,,,,,,,,1.0,16.0,6.0,1300.0,1.0,24.0,5.0,1795.0,4.0,16.0,4.0,622.0,29,Evkur Yeni Malatyaspor,Süper Lig,right,176.0,Emanuel Dening,Argentina,W
5.0,29.0,3.0,1476.0,8.0,35.0,9.0,2427.0,3.0,23.0,7.0,1843.0,5.0,32.0,3.0,2110.0,7.0,30.0,13.0,2430.0,4.0,14.0,1.0,1114.0,30,Evkur Yeni Malatyaspor,Süper Lig,right,167.0,Adem Büyük,Turkey,CF
0.0,1.0,0.0,74.0,,,,,3.0,28.0,6.0,2111.0,1.0,35.0,10.0,2221.0,5.0,36.0,20.0,2968.0,1.0,15.0,7.0,1261.0,30,Evkur Yeni Malatyaspor,Süper Lig,right,190.0,Khalid Boutaïb,Morocco  France,CF
1.0,6.0,0.0,250.0,0.0,6.0,0.0,83.0,0.0,1.0,0.0,40.0,0.0,1.0,0.0,26.0,0.0,23.0,9.0,1259.0,0.0,6.0,1.0,187.0,21,Evkur Yeni Malatyaspor,Süper Lig,left,187.0,Batuhan Altintas,Turkey,CF
1.0,18.0,0.0,1363.0,2.0,30.0,3.0,1729.0,2.0,21.0,2.0,1544.0,2.0,36.0,5.0,2975.0,2.0,26.0,1.0,1379.0,1.0,11.0,1.0,799.0,30,Teleset Mobilya Akhisarspor,Süper Lig,right,175.0,Daniel Larsson,Sweden,W
6.0,16.0,4.0,1347.0,5.0,28.0,3.0,1505.0,4.0,26.0,4.0,1454.0,1.0,30.0,3.0,1134.0,3.0,30.0,0.0,1381.0,2.0,11.0,1.0,643.0,27,Teleset Mobilya Akhisarspor,Süper Lig,both,183.0,Onur Ayik,Turkey  Germany,W
3.0,28.0,6.0,1786.0,7.0,33.0,2.0,1520.0,1.0,20.0,2.0,687.0,1.0,5.0,4.0,260.0,9.0,40.0,6.0,2384.0,2.0,8.0,0.0,458.0,29,Teleset Mobilya Akhisarspor,Süper Lig,both,180.0,Marvin Emnes,Netherlands  Suriname,CF
0.0,29.0,4.0,1825.0,3.0,25.0,3.0,1702.0,5.0,33.0,10.0,2499.0,4.0,37.0,20.0,2992.0,0.0,30.0,4.0,1346.0,0.0,14.0,4.0,530.0,29,Teleset Mobilya Akhisarspor,Süper Lig,right,178.0,Ioan Hora,Romania,CF
3.0,28.0,5.0,1757.0,15.0,62.0,29.0,4813.0,1.0,17.0,7.0,1343.0,,,,,0.0,4.0,0.0,243.0,1.0,14.0,6.0,935.0,28,Teleset Mobilya Akhisarspor,Süper Lig,right,185.0,Paulo Henrique,Brazil,CF
0.0,35.0,26.0,3105.0,3.0,37.0,15.0,2912.0,4.0,23.0,2.0,1202.0,4.0,30.0,5.0,2284.0,2.0,30.0,3.0,1111.0,2.0,10.0,2.0,383.0,27,Teleset Mobilya Akhisarspor,Süper Lig,right,180.0,Mugdat Celik,Turkey,CF
,,,,0.0,4.0,1.0,173.0,0.0,4.0,2.0,309.0,1.0,23.0,3.0,1373.0,8.0,32.0,5.0,2500.0,0.0,16.0,4.0,1173.0,22,Kasimpasa,Süper Lig,right,171.0,Jhon Murillo,Venezuela,W
,,,,,,,,4.0,19.0,8.0,1309.0,0.0,12.0,0.0,495.0,3.0,38.0,6.0,2205.0,2.0,16.0,4.0,953.0,23,Kasimpasa,Süper Lig,left,176.0,Samuel Eduok,Nigeria,W
1.0,17.0,0.0,437.0,0.0,30.0,2.0,2055.0,8.0,36.0,5.0,2542.0,1.0,8.0,0.0,175.0,5.0,31.0,7.0,2398.0,4.0,15.0,6.0,1165.0,23,Kasimpasa,Süper Lig,both,179.0,Trezeguet,Egypt,W
1.0,17.0,5.0,779.0,1.0,18.0,1.0,692.0,1.0,15.0,6.0,1092.0,0.0,9.0,2.0,336.0,0.0,2.0,1.0,80.0,0.0,13.0,4.0,588.0,26,Kasimpasa,Süper Lig,right,187.0,Michael Rangel,Colombia,CF
1.0,22.0,3.0,891.0,1.0,34.0,6.0,1896.0,2.0,30.0,3.0,1968.0,3.0,26.0,1.0,1259.0,1.0,25.0,6.0,1725.0,,,,,27,Kasimpasa,Süper Lig,right,186.0,Bengali-Fodé Koita,Guinea  France,CF
4.0,26.0,4.0,1523.0,4.0,34.0,7.0,1641.0,6.0,37.0,15.0,2439.0,6.0,26.0,5.0,1642.0,0.0,4.0,0.0,128.0,0.0,6.0,1.0,231.0,27,Kasimpasa,Süper Lig,right,185.0,Franck Etoundi,Cameroon,CF
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,17,Kasimpasa,Süper Lig,,,Ali Göcmen,Turkey,CF
0.0,4.0,1.0,305.0,4.0,27.0,5.0,1066.0,0.0,16.0,3.0,1043.0,5.0,30.0,17.0,2449.0,5.0,39.0,12.0,2529.0,0.0,4.0,1.0,236.0,31,Demir Grup Sivasspor,Süper Lig,right,178.0,Leandrinho,Brazil,W
10.0,44.0,14.0,3830.0,0.0,20.0,5.0,884.0,4.0,30.0,4.0,1878.0,1.0,22.0,4.0,1151.0,1.0,36.0,3.0,2287.0,2.0,13.0,4.0,913.0,25,Demir Grup Sivasspor,Süper Lig,right,180.0,Thievy Bifouma,Congo  France,CF
7.0,38.0,13.0,3291.0,0.0,6.0,0.0,199.0,0.0,19.0,2.0,1020.0,3.0,31.0,7.0,1812.0,0.0,9.0,2.0,105.0,2.0,15.0,8.0,1313.0,34,Demir Grup Sivasspor,Süper Lig,right,181.0,Arouna Koné,Cote d'Ivoire,CF
1.0,11.0,2.0,552.0,1.0,16.0,2.0,693.0,4.0,32.0,10.0,2500.0,5.0,31.0,11.0,2467.0,0.0,21.0,2.0,1159.0,0.0,10.0,4.0,371.0,25,Demir Grup Sivasspor,Süper Lig,right,180.0,Muhammet Demir,Turkey,CF
0.0,2.0,0.0,20.0,5.0,32.0,5.0,1614.0,2.0,42.0,6.0,1534.0,4.0,34.0,14.0,2109.0,2.0,35.0,8.0,1356.0,0.0,11.0,0.0,525.0,27,Demir Grup Sivasspor,Süper Lig,right,173.0,Cyriac,Cote d'Ivoire  Belgium,CF
1.0,30.0,8.0,1695.0,6.0,32.0,11.0,2624.0,2.0,28.0,5.0,2179.0,2.0,28.0,11.0,2079.0,4.0,37.0,8.0,2655.0,0.0,6.0,0.0,294.0,30,Demir Grup Sivasspor,Süper Lig,right,184.0,Ergin Keles,Turkey,CF
4.0,36.0,9.0,2336.0,2.0,21.0,8.0,1142.0,1.0,13.0,4.0,704.0,0.0,21.0,2.0,989.0,2.0,23.0,5.0,1602.0,0.0,16.0,2.0,931.0,27,Kardemir Karabükspor,Süper Lig,right,182.0,Gheorghe Grozav,Romania,W
0.0,31.0,4.0,2647.0,1.0,26.0,1.0,1446.0,3.0,25.0,0.0,878.0,4.0,32.0,1.0,1798.0,1.0,25.0,1.0,878.0,3.0,15.0,1.0,678.0,25,Kardemir Karabükspor,Süper Lig,left,172.0,Ilhan Depe,Turkey,W
